"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","מהירות רוח (מטר לשניה)"
"חיפה בתי זיקוק 01/1999-03/2025","23-03-2023 15:00","21.1","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","23-03-2023 18:00","20.8","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","23-03-2023 21:00","17.8","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","24-03-2023 00:00","16.3","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","24-03-2023 03:00","15.6","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","24-03-2023 06:00","14.1","0.3"
"חיפה בתי זיקוק 01/1999-03/2025","24-03-2023 09:00","19.4","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","24-03-2023 12:00","25.5","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","24-03-2023 15:00","24.1","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","24-03-2023 18:00","19.8","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","24-03-2023 21:00","19.9","4"
"חיפה בתי זיקוק 01/1999-03/2025","25-03-2023 00:00","16.4","0.3"
"חיפה בתי זיקוק 01/1999-03/2025","25-03-2023 03:00","17.6","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","25-03-2023 06:00","18.9","1"
"חיפה בתי זיקוק 01/1999-03/2025","25-03-2023 09:00","18.1","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","25-03-2023 12:00","19.5","2"
"חיפה בתי זיקוק 01/1999-03/2025","25-03-2023 15:00","19.4","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","25-03-2023 18:00","19","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","25-03-2023 21:00","17.7","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","26-03-2023 00:00","17.5","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","26-03-2023 03:00","17.3","5.7"
"חיפה בתי זיקוק 01/1999-03/2025","26-03-2023 06:00","17.3","5.7"
"חיפה בתי זיקוק 01/1999-03/2025","26-03-2023 09:00","18.4","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","26-03-2023 12:00","21.5","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","26-03-2023 15:00","22","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","26-03-2023 18:00","19.2","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","26-03-2023 21:00","17.2","5"
"חיפה בתי זיקוק 01/1999-03/2025","27-03-2023 00:00","14.9","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","27-03-2023 03:00","13.8","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","27-03-2023 06:00","12.2","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","27-03-2023 09:00","16","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","27-03-2023 12:00","21.6","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","27-03-2023 15:00","22.2","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","27-03-2023 18:00","19","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","27-03-2023 21:00","15.5","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","28-03-2023 00:00","12.4","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","28-03-2023 03:00","11.7","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","28-03-2023 06:00","11.1","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","28-03-2023 09:00","15.6","1"
"חיפה בתי זיקוק 01/1999-03/2025","28-03-2023 12:00","22.3","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","28-03-2023 15:00","23.9","4"
"חיפה בתי זיקוק 01/1999-03/2025","28-03-2023 18:00","22.1","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","28-03-2023 21:00","18","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","29-03-2023 00:00","16.8","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","29-03-2023 03:00","13.6","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","29-03-2023 06:00","12.8","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","29-03-2023 09:00","19","6.8"
"חיפה בתי זיקוק 01/1999-03/2025","29-03-2023 12:00","20.6","9.7"
"חיפה בתי זיקוק 01/1999-03/2025","29-03-2023 15:00","20","8.2"
"חיפה בתי זיקוק 01/1999-03/2025","29-03-2023 18:00","16.9","8"
"חיפה בתי זיקוק 01/1999-03/2025","29-03-2023 21:00","15.7","6.6"
"חיפה בתי זיקוק 01/1999-03/2025","30-03-2023 00:00","15.3","8.3"
"חיפה בתי זיקוק 01/1999-03/2025","30-03-2023 03:00","14.7","6.4"
"חיפה בתי זיקוק 01/1999-03/2025","30-03-2023 06:00","14.3","6.4"
"חיפה בתי זיקוק 01/1999-03/2025","30-03-2023 09:00","17.3","7.1"
"חיפה בתי זיקוק 01/1999-03/2025","30-03-2023 12:00","16.6","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","30-03-2023 15:00","17.4","8.6"
"חיפה בתי זיקוק 01/1999-03/2025","30-03-2023 18:00","14.8","8.9"
"חיפה בתי זיקוק 01/1999-03/2025","30-03-2023 21:00","13.8","9.2"
"חיפה בתי זיקוק 01/1999-03/2025","31-03-2023 00:00","11.7","8.3"
"חיפה בתי זיקוק 01/1999-03/2025","31-03-2023 03:00","12.8","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","31-03-2023 06:00","13.2","8.5"
"חיפה בתי זיקוק 01/1999-03/2025","31-03-2023 09:00","16.2","8.5"
"חיפה בתי זיקוק 01/1999-03/2025","31-03-2023 12:00","17.8","8.4"
"חיפה בתי זיקוק 01/1999-03/2025","31-03-2023 15:00","18","7.5"
"חיפה בתי זיקוק 01/1999-03/2025","31-03-2023 18:00","15.9","5"
"חיפה בתי זיקוק 01/1999-03/2025","31-03-2023 21:00","14.3","4"
"חיפה בתי זיקוק 01/1999-03/2025","01-04-2023 00:00","10.3","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","01-04-2023 03:00","10.2","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","01-04-2023 06:00","10.6","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","01-04-2023 09:00","15","2"
"חיפה בתי זיקוק 01/1999-03/2025","01-04-2023 12:00","20.4","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","01-04-2023 15:00","20.4","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","01-04-2023 18:00","17.9","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","01-04-2023 21:00","15.5","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","02-04-2023 00:00","12","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","02-04-2023 03:00","10.3","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","02-04-2023 06:00","9.7","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","02-04-2023 09:00","16.5","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","02-04-2023 12:00","21.3","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","02-04-2023 15:00","20.7","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","02-04-2023 18:00","19","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","02-04-2023 21:00","16.4","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","03-04-2023 00:00","13.5","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","03-04-2023 03:00","11.1","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","03-04-2023 06:00","9.7","3"
"חיפה בתי זיקוק 01/1999-03/2025","03-04-2023 09:00","18.2","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","03-04-2023 12:00","24.4","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","03-04-2023 15:00","23.5","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","03-04-2023 18:00","21.1","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","03-04-2023 21:00","18.8","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","04-04-2023 00:00","14.2","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","04-04-2023 03:00","21.5","7.4"
"חיפה בתי זיקוק 01/1999-03/2025","04-04-2023 06:00","17","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","04-04-2023 09:00","23.4","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","04-04-2023 12:00","29.5","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","04-04-2023 15:00","33.3","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","04-04-2023 18:00","26.9","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","04-04-2023 21:00","19.9","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","05-04-2023 00:00","18.4","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","05-04-2023 03:00","16.9","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","05-04-2023 06:00","13.8","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","05-04-2023 09:00","19.3","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","05-04-2023 12:00","22.4","6.5"
"חיפה בתי זיקוק 01/1999-03/2025","05-04-2023 15:00","22.4","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","05-04-2023 18:00","19.3","7.3"
"חיפה בתי זיקוק 01/1999-03/2025","05-04-2023 21:00","17.3","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","06-04-2023 00:00","16","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","06-04-2023 03:00","15.5","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","06-04-2023 06:00","12.3","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","06-04-2023 09:00","18.4","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","06-04-2023 12:00","21.7","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","06-04-2023 15:00","21.7","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","06-04-2023 18:00","19.4","4"
"חיפה בתי זיקוק 01/1999-03/2025","06-04-2023 21:00","15.7","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","07-04-2023 00:00","12.9","2.1"
"חיפה בתי זיקוק 01/1999-03/2025","07-04-2023 03:00","13.7","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","07-04-2023 06:00","15.5","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","07-04-2023 09:00","18.2","7.9"
"חיפה בתי זיקוק 01/1999-03/2025","07-04-2023 12:00","26.4","6.6"
"חיפה בתי זיקוק 01/1999-03/2025","07-04-2023 15:00","29.3","6.7"
"חיפה בתי זיקוק 01/1999-03/2025","07-04-2023 18:00","25.2","9.2"
"חיפה בתי זיקוק 01/1999-03/2025","07-04-2023 21:00","20.2","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","08-04-2023 00:00","17.9","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","08-04-2023 03:00","15.6","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","08-04-2023 06:00","14.3","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","08-04-2023 09:00","18.5","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","08-04-2023 12:00","22.6","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","08-04-2023 15:00","23.1","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","08-04-2023 18:00","20.2","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","08-04-2023 21:00","16.8","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","09-04-2023 00:00","17.1","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","09-04-2023 03:00","19.7","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","09-04-2023 06:00","19.2","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","09-04-2023 09:00","24.3","9.3"
"חיפה בתי זיקוק 01/1999-03/2025","09-04-2023 12:00","30.1","2"
"חיפה בתי זיקוק 01/1999-03/2025","09-04-2023 15:00","32.4","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","09-04-2023 18:00","25.5","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","09-04-2023 21:00","21.3","4.3"
"חיפה בתי זיקוק 01/1999-03/2025","10-04-2023 00:00","20.4","4"
"חיפה בתי זיקוק 01/1999-03/2025","10-04-2023 03:00","21.7","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","10-04-2023 06:00","25.7","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","10-04-2023 09:00","24.2","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","10-04-2023 12:00","30.4","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","10-04-2023 15:00","29.5","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","10-04-2023 18:00","28.1","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","10-04-2023 21:00","23.4","6.2"
"חיפה בתי זיקוק 01/1999-03/2025","11-04-2023 00:00","20.1","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","11-04-2023 03:00","18.4","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","11-04-2023 06:00","17.7","7.1"
"חיפה בתי זיקוק 01/1999-03/2025","11-04-2023 09:00","18.4","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","11-04-2023 12:00","18.2","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","11-04-2023 15:00","20.5","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","11-04-2023 18:00","19","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","11-04-2023 21:00","15.2","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","12-04-2023 00:00","14.1","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","12-04-2023 03:00","12.4","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","12-04-2023 06:00","12.7","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","12-04-2023 09:00","12.2","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","12-04-2023 12:00","11","8.2"
"חיפה בתי זיקוק 01/1999-03/2025","12-04-2023 15:00","15.5","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","12-04-2023 18:00","14.1","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","12-04-2023 21:00","14.1","7.4"
"חיפה בתי זיקוק 01/1999-03/2025","13-04-2023 00:00","12.4","6.7"
"חיפה בתי זיקוק 01/1999-03/2025","13-04-2023 03:00","13.6","7"
"חיפה בתי זיקוק 01/1999-03/2025","13-04-2023 06:00","12.3","6.8"
"חיפה בתי זיקוק 01/1999-03/2025","13-04-2023 09:00","14.1","9.3"
"חיפה בתי זיקוק 01/1999-03/2025","13-04-2023 12:00","18.4","6.7"
"חיפה בתי זיקוק 01/1999-03/2025","13-04-2023 15:00","20.8","9"
"חיפה בתי זיקוק 01/1999-03/2025","13-04-2023 18:00","18.6","7.3"
"חיפה בתי זיקוק 01/1999-03/2025","13-04-2023 21:00","16","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","14-04-2023 00:00","13.7","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","14-04-2023 03:00","12.5","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","14-04-2023 06:00","10.8","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","14-04-2023 09:00","16.4","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","14-04-2023 12:00","21.9","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","14-04-2023 15:00","23","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","14-04-2023 18:00","20.3","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","14-04-2023 21:00","16.1","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","15-04-2023 00:00","14.2","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","15-04-2023 03:00","12.1","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","15-04-2023 06:00","11.1","3"
"חיפה בתי זיקוק 01/1999-03/2025","15-04-2023 09:00","20.4","3"
"חיפה בתי זיקוק 01/1999-03/2025","15-04-2023 12:00","26","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","15-04-2023 15:00","24.5","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","15-04-2023 18:00","21.9","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","15-04-2023 21:00","19.1","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","16-04-2023 00:00","17.5","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","16-04-2023 03:00","14.8","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","16-04-2023 06:00","13.3","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","16-04-2023 09:00","22.6","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","16-04-2023 12:00","28.7","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","16-04-2023 15:00","22.1","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","16-04-2023 18:00","22.7","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","16-04-2023 21:00","19.3","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","17-04-2023 00:00","19.1","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","17-04-2023 03:00","15.7","2"
"חיפה בתי זיקוק 01/1999-03/2025","17-04-2023 06:00","14.2","0.4"
"חיפה בתי זיקוק 01/1999-03/2025","17-04-2023 09:00","22.2","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","17-04-2023 12:00","24.9","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","17-04-2023 15:00","25.5","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","17-04-2023 18:00","23.9","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","17-04-2023 21:00","21.3","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","18-04-2023 00:00","19.6","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","18-04-2023 03:00","18.9","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","18-04-2023 06:00","17.3","0.3"
"חיפה בתי זיקוק 01/1999-03/2025","18-04-2023 09:00","25.5","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","18-04-2023 12:00","26.9","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","18-04-2023 15:00","22.1","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","18-04-2023 18:00","23.8","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","18-04-2023 21:00","20.2","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","19-04-2023 00:00","17.6","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","19-04-2023 03:00","21.7","7.4"
"חיפה בתי זיקוק 01/1999-03/2025","19-04-2023 06:00","23.4","7.4"
"חיפה בתי זיקוק 01/1999-03/2025","19-04-2023 09:00","25.7","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","19-04-2023 12:00","31.8","6.6"
"חיפה בתי זיקוק 01/1999-03/2025","19-04-2023 15:00","26.2","7.6"
"חיפה בתי זיקוק 01/1999-03/2025","19-04-2023 18:00","24.9","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","19-04-2023 21:00","25.4","4"
"חיפה בתי זיקוק 01/1999-03/2025","20-04-2023 00:00","22.2","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","20-04-2023 03:00","19.4","7.7"
"חיפה בתי זיקוק 01/1999-03/2025","20-04-2023 06:00","18.4","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","20-04-2023 09:00","20.5","6.2"
"חיפה בתי זיקוק 01/1999-03/2025","20-04-2023 12:00","21.2","7.2"
"חיפה בתי זיקוק 01/1999-03/2025","20-04-2023 15:00","22.6","7.1"
"חיפה בתי זיקוק 01/1999-03/2025","20-04-2023 18:00","20","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","20-04-2023 21:00","17.5","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","21-04-2023 00:00","16.8","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","21-04-2023 03:00","15.1","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","21-04-2023 06:00","12.7","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","21-04-2023 09:00","18.8","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","21-04-2023 12:00","22.1","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","21-04-2023 15:00","22.3","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","21-04-2023 18:00","19.6","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","21-04-2023 21:00","17.6","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","22-04-2023 00:00","16.6","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","22-04-2023 03:00","14.5","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","22-04-2023 06:00","12","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","22-04-2023 09:00","19.3","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","22-04-2023 12:00","21.2","5.7"
"חיפה בתי זיקוק 01/1999-03/2025","22-04-2023 15:00","21.9","7"
"חיפה בתי זיקוק 01/1999-03/2025","22-04-2023 18:00","20.3","6"
"חיפה בתי זיקוק 01/1999-03/2025","22-04-2023 21:00","18.5","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","23-04-2023 00:00","18.1","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","23-04-2023 03:00","17.6","3.8"
"חיפה בתי זיקוק 01/1999-03/2025","23-04-2023 06:00","16.1","2"
"חיפה בתי זיקוק 01/1999-03/2025","23-04-2023 09:00","20.3","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","23-04-2023 12:00","22","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","23-04-2023 15:00","23.6","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","23-04-2023 18:00","21.1","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","23-04-2023 21:00","19","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","24-04-2023 00:00","17.2","2.6"
"חיפה בתי זיקוק 01/1999-03/2025","24-04-2023 03:00","15.1","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","24-04-2023 06:00","13.3","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","24-04-2023 09:00","20.4","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","24-04-2023 12:00","23.6","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","24-04-2023 15:00","23.3","7.1"
"חיפה בתי זיקוק 01/1999-03/2025","24-04-2023 18:00","21.3","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","24-04-2023 21:00","18.2","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","25-04-2023 00:00","16.5","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","25-04-2023 03:00","14","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","25-04-2023 06:00","13.4","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","25-04-2023 09:00","19","1"
"חיפה בתי זיקוק 01/1999-03/2025","25-04-2023 12:00","22.7","5.7"
"חיפה בתי זיקוק 01/1999-03/2025","25-04-2023 15:00","22.9","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","25-04-2023 18:00","20.7","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","25-04-2023 21:00","17.5","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","26-04-2023 00:00","15.5","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","26-04-2023 03:00","13.2","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","26-04-2023 06:00","11.7","1"
"חיפה בתי זיקוק 01/1999-03/2025","26-04-2023 09:00","19.3","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","26-04-2023 12:00","23.8","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","26-04-2023 15:00","23.1","7"
"חיפה בתי זיקוק 01/1999-03/2025","26-04-2023 18:00","20.5","4.3"
"חיפה בתי זיקוק 01/1999-03/2025","26-04-2023 21:00","17.7","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","27-04-2023 00:00","16.1","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","27-04-2023 03:00","13.4","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","27-04-2023 06:00","12.6","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","27-04-2023 09:00","20.9","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","27-04-2023 12:00","26.1","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","27-04-2023 15:00","24.4","6.7"
"חיפה בתי זיקוק 01/1999-03/2025","27-04-2023 18:00","22.1","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","27-04-2023 21:00","18.2","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","28-04-2023 00:00","15","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","28-04-2023 03:00","13.5","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","28-04-2023 06:00","14.3","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","28-04-2023 09:00","21.1","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","28-04-2023 12:00","21.7","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","28-04-2023 15:00","22.1","7.2"
"חיפה בתי זיקוק 01/1999-03/2025","28-04-2023 18:00","20.4","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","28-04-2023 21:00","18.6","4"
"חיפה בתי זיקוק 01/1999-03/2025","29-04-2023 00:00","17.4","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","29-04-2023 03:00","16.6","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","29-04-2023 06:00","16.1","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","29-04-2023 09:00","17.7","6.7"
"חיפה בתי זיקוק 01/1999-03/2025","29-04-2023 12:00","20.7","8.3"
"חיפה בתי זיקוק 01/1999-03/2025","29-04-2023 15:00","21","9.8"
"חיפה בתי זיקוק 01/1999-03/2025","29-04-2023 18:00","18.1","10.7"
"חיפה בתי זיקוק 01/1999-03/2025","29-04-2023 21:00","16.9","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","30-04-2023 00:00","16.8","6.5"
"חיפה בתי זיקוק 01/1999-03/2025","30-04-2023 03:00","16.4","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","30-04-2023 06:00","14.4","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","30-04-2023 09:00","17.9","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","30-04-2023 12:00","21.3","8.3"
"חיפה בתי זיקוק 01/1999-03/2025","30-04-2023 15:00","21.7","6.8"
"חיפה בתי זיקוק 01/1999-03/2025","30-04-2023 18:00","19.1","6.4"
"חיפה בתי זיקוק 01/1999-03/2025","30-04-2023 21:00","17.7","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","01-05-2023 00:00","14.1","1"
"חיפה בתי זיקוק 01/1999-03/2025","01-05-2023 03:00","13.1","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","01-05-2023 06:00","13","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","01-05-2023 09:00","18.2","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","01-05-2023 12:00","21","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","01-05-2023 15:00","21.7","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","01-05-2023 18:00","20.1","5.8"
"חיפה בתי זיקוק 01/1999-03/2025","01-05-2023 21:00","17.9","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","02-05-2023 00:00","15.7","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","02-05-2023 03:00","15","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","02-05-2023 06:00","12.1","0.4"
"חיפה בתי זיקוק 01/1999-03/2025","02-05-2023 09:00","20.7","3.9"
